"createAt","temperature","ON/OFF"
362.0,21.095,"OFF"
363.0,21.09,"OFF"
364.0,21.08,"OFF"
365.0,21.065,"OFF"
366.0,21.045,"OFF"
367.0,21.02,"OFF"
368.0,20.99,"OFF"
369.0,20.955,"OFF"
370.0,20.915,"OFF"
371.0,20.87,"OFF"
372.0,20.825,"OFF"
373.0,20.78,"OFF"
374.0,20.735,"OFF"
375.0,20.69,"OFF"
376.0,20.645,"OFF"
377.0,20.6,"OFF"
378.0,20.555,"OFF"
379.0,20.51,"OFF"
380.0,20.465,"OFF"
381.0,20.42,"OFF"
382.0,20.375,"OFF"
383.0,20.33,"OFF"
384.0,20.285,"OFF"
385.0,20.24,"OFF"
386.0,20.195,"OFF"
387.0,20.15,"OFF"
388.0,20.105,"OFF"
389.0,20.06,"OFF"
390.0,20.015,"OFF"
391.0,19.97,"OFF"
392.0,19.925,"OFF"
393.0,19.88,"OFF"
394.0,19.835,"ON"
395.0,19.79,"ON"
396.0,19.745,"ON"
397.0,19.7,"ON"
398.0,19.655,"ON"
399.0,19.61,"ON"
400.0,19.585,"ON"
401.0,19.58,"ON"
402.0,19.595,"ON"
403.0,19.63,"ON"
404.0,19.685,"ON"
405.0,19.76,"ON"
406.0,19.835,"ON"
407.0,19.91,"ON"
408.0,19.985,"ON"
409.0,20.06,"ON"
410.0,20.135,"ON"
411.0,20.21,"OFF"
412.0,20.285,"OFF"
413.0,20.36,"OFF"
414.0,20.435,"OFF"
415.0,20.51,"OFF"
416.0,20.585,"OFF"
417.0,20.655,"OFF"
418.0,20.72,"OFF"
419.0,20.78,"OFF"
420.0,20.835,"OFF"
421.0,20.885,"OFF"
422.0,20.93,"OFF"
423.0,20.97,"OFF"
424.0,21.005,"OFF"
425.0,21.035,"OFF"
426.0,21.06,"OFF"
427.0,21.08,"OFF"
428.0,21.095,"OFF"
429.0,21.105,"OFF"
430.0,21.11,"OFF"
431.0,21.11,"OFF"
432.0,21.105,"OFF"
433.0,21.095,"OFF"
434.0,21.08,"OFF"
435.0,21.06,"OFF"
436.0,21.035,"OFF"
437.0,21.005,"OFF"
438.0,20.97,"OFF"
439.0,20.93,"OFF"
440.0,20.885,"OFF"
441.0,20.84,"OFF"
442.0,20.795,"OFF"
443.0,20.75,"OFF"
444.0,20.705,"OFF"
445.0,20.66,"OFF"
446.0,20.615,"OFF"
